"ID","Exited","Age","IsActiveMember","Geography","Balance","Gender","NumOfProducts"
5463,0,29,0,"France",105356.09,"Female",2
5511,0,41,0,"France",126645.13,"Male",1
5227,1,43,0,"Spain",79757.21,"Male",1
3526,1,48,0,"Germany",52831.13,"Female",2
7291,0,34,1,"France",0,"Male",2
5986,0,26,0,"Spain",0,"Male",2
4842,0,34,0,"Spain",150186.22,"Male",2
4142,0,26,1,"Germany",108825.34,"Female",1
6371,0,29,1,"France",0,"Male",1
8349,0,30,1,"Germany",156771.68,"Female",1
8364,0,46,0,"Spain",120905.03,"Male",1
8134,0,35,0,"France",127120.07,"Male",1
6446,0,26,0,"Germany",152400.51,"Male",2
7761,0,39,1,"Spain",139723.9,"Female",1
9746,0,36,0,"France",0,"Female",2
4627,0,34,0,"Spain",136820.99,"Male",1
5757,0,68,0,"Germany",75801.74,"Male",1
8107,0,33,1,"Spain",0,"Female",2
8211,0,55,1,"Spain",0,"Male",2
3953,0,28,1,"Germany",138668.18,"Male",1
7444,0,37,1,"France",102768.42,"Male",1
4017,0,22,0,"Spain",126670.37,"Male",1
5013,0,40,0,"Germany",92887.13,"Male",1
8475,0,42,0,"France",86167.82,"Male",1
5888,1,52,0,"France",0,"Male",2
9170,1,48,0,"France",0,"Female",1
5567,0,54,0,"France",80293.98,"Male",1
4450,0,30,0,"Spain",0,"Male",2
8769,1,24,0,"Germany",102773.2,"Male",2
4790,0,48,0,"France",0,"Female",1
7307,0,35,1,"Germany",108601,"Female",1
5980,0,45,0,"France",206663.75,"Male",1
4614,0,41,1,"Germany",141749.68,"Male",1
9737,0,25,0,"France",171770.55,"Male",1
3555,0,36,1,"Germany",163159.85,"Female",1
8991,0,34,0,"France",0,"Female",2
7469,1,45,1,"France",45144.43,"Female",1
4167,0,35,0,"Spain",174894.53,"Female",1
5592,1,74,0,"Germany",123403.85,"Female",2
5538,0,43,1,"Germany",154206.07,"Female",2
4799,0,67,1,"Germany",145150.28,"Male",1
3905,0,38,1,"Spain",170288.38,"Male",1
8962,0,31,0,"Spain",0,"Female",2
4047,0,42,0,"France",0,"Female",2
6004,1,38,0,"Germany",152759,"Male",1
7405,0,44,0,"France",0,"Female",2
6207,0,29,1,"Germany",0,"Male",2
6995,0,38,0,"France",106871.81,"Female",2
8344,0,46,1,"Germany",118886.55,"Male",1
3166,0,33,1,"Spain",106070.89,"Male",1
3217,0,38,1,"France",0,"Male",2
4314,0,35,1,"Spain",71829.34,"Female",1
5629,0,24,1,"Germany",127862.93,"Male",1
9216,0,27,0,"France",106059.4,"Male",1
3588,0,40,1,"France",0,"Female",2
4599,1,40,1,"Germany",117300.02,"Female",1
7237,0,38,0,"France",134811.3,"Male",1
7818,0,60,1,"France",82373.94,"Male",1
6937,0,32,1,"France",177729.13,"Male",1
7089,0,32,1,"Spain",115341.19,"Male",1
5907,0,28,1,"France",79460.98,"Male",2
7249,1,28,0,"Germany",143988,"Male",2
3294,1,34,1,"France",0,"Female",1
3277,0,26,0,"Germany",0,"Male",2
8583,0,33,1,"Spain",72535.45,"Female",1
3041,0,42,0,"Spain",98710.89,"Male",1
9575,0,38,0,"Germany",132603.36,"Male",1
9234,0,27,0,"France",55776.39,"Female",2
3316,0,35,1,"Spain",147936.42,"Female",1
9672,1,43,0,"Spain",120867.18,"Female",1
5822,0,38,0,"Spain",124483.53,"Male",1
5795,0,40,1,"France",113146.98,"Male",1
5504,0,31,1,"France",62610.96,"Male",2
9742,0,32,0,"France",0,"Female",2
6926,0,30,1,"France",157989.21,"Male",2
4183,0,31,1,"Germany",134542.73,"Male",2
3752,0,52,1,"Germany",71283.09,"Female",2
6281,0,40,1,"France",125832.2,"Male",1
3374,0,40,0,"France",110495.27,"Male",2
9994,0,40,0,"Spain",89685.92,"Male",1
9129,0,22,1,"France",0,"Male",2
5082,0,40,1,"Spain",115309.75,"Female",1
7612,0,37,1,"France",138162.41,"Male",1
7109,0,36,1,"Spain",178074.33,"Male",1
5117,0,44,0,"Spain",0,"Male",2
9134,1,48,0,"France",122950.31,"Male",1
9015,0,58,0,"France",0,"Female",1
3755,0,40,0,"Germany",124788.18,"Male",1
9553,0,28,0,"Spain",0,"Female",2
8428,0,38,1,"Spain",0,"Male",2
8209,0,35,0,"Germany",79962.92,"Male",2
4006,0,36,1,"Spain",155176.83,"Male",2
5585,0,29,1,"France",130131.08,"Male",2
5339,0,40,1,"Germany",106756.01,"Female",2
4448,1,54,0,"Spain",118241.02,"Female",1
6952,0,29,1,"France",80002.33,"Female",1
6980,0,39,1,"Spain",0,"Male",2
7767,0,25,0,"France",77886.53,"Male",2
9265,0,35,0,"France",106836.67,"Male",1
4134,0,34,1,"France",144318.97,"Male",1
6230,0,34,1,"Germany",120018.86,"Male",2
8184,0,25,0,"France",0,"Female",2
8603,0,35,0,"France",95478.17,"Male",1
4934,0,57,1,"France",76165.65,"Male",2
4501,0,30,1,"Spain",0,"Male",2
7576,0,27,1,"Spain",0,"Male",1
6783,0,38,1,"France",148143.84,"Female",1
9211,1,68,0,"France",183555.24,"Female",1
4914,0,37,0,"Spain",187013.13,"Female",2
8967,0,23,1,"France",112568.31,"Female",1
4109,0,44,1,"France",97819.36,"Male",1
7261,0,28,1,"Spain",97840.72,"Female",2
4075,0,43,1,"France",0,"Female",2
6146,1,32,1,"Germany",123906.22,"Male",1
4386,0,54,1,"Germany",70362.52,"Male",2
5284,0,45,1,"France",109730.22,"Female",1
7706,0,26,1,"France",123126.29,"Female",1
5378,0,42,0,"Spain",138912.17,"Female",1
9870,0,27,0,"France",120509.81,"Male",1
7223,0,49,0,"France",121973.28,"Male",4
7044,1,40,1,"Spain",107926.02,"Male",1
5260,0,25,1,"Germany",115142.9,"Male",1
3686,0,24,0,"Spain",0,"Male",3
6857,0,43,0,"France",0,"Male",1
9078,0,44,0,"France",0,"Male",1
8027,0,29,0,"Spain",61710.44,"Male",2
9387,0,35,0,"Germany",0,"Male",1
3847,0,25,1,"Spain",100829.94,"Male",1
3983,0,40,1,"Spain",110929.96,"Male",1
7715,0,28,1,"Spain",177997.07,"Male",1
9023,0,40,1,"Germany",0,"Male",2
7573,0,38,0,"France",0,"Male",2
9095,0,72,0,"France",137361.96,"Male",1
3151,0,35,1,"Germany",102742.91,"Female",2
9810,0,32,1,"Germany",98899.76,"Male",1
4638,1,35,0,"Spain",0,"Male",2
5208,0,37,1,"France",170557.91,"Male",2
9299,0,41,1,"Germany",28649.64,"Male",1
5474,0,27,1,"Spain",0,"Female",2
4029,0,28,0,"France",98738.92,"Male",1
3326,0,23,1,"Spain",0,"Male",2
6856,0,42,0,"Spain",0,"Male",2
5837,0,26,0,"France",139848.17,"Male",1
4956,0,44,0,"France",61172.04,"Male",1
8358,0,56,0,"France",180293.84,"Female",2
8884,0,48,0,"France",0,"Male",2
7093,0,39,0,"France",118336.14,"Female",1
8459,0,64,1,"Spain",91216,"Female",1
