"ID","Tenure","NetPromoterScore","TransactionFrequency","Age","ComplaintsCount","EstimatedSalary","AvgTransactionAmount","DigitalEngagementScore","CreditScore","Balance","NumOfProducts","Gender","EducationLevel","LoanStatus","Geography","HasCrCard","IsActiveMember","CustomerSegment","MaritalStatus","SavingsAccountFlag","Exited","Outlier_LOF","Outlier_Mahalanobis","Outlier_Mahalanobis_Rob","Num_Metodos_Outlier"
5511,1,9,31,41,0,194890.33,44.234956522968,57,679,148222.65,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
5227,8,8,26,43,0,135650.72,228.837824334054,42,577,79757.21,1,"Male","University","No loan","Spain","1","0","Mass Market","Married","1",1,FALSE,FALSE,FALSE,0
3526,8,2,32,48,0,102640.52,133.894064907503,40,482,79551.12,2,"Female","High School","Active loan","Germany","0","0","Affluent","Single","0",1,FALSE,FALSE,FALSE,0
7291,3,6,41,34,0,83773.02,91.5700291965424,67,635,0,2,"Male","High School","Active loan","France","1","1","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
5986,9,9,33,45,0,116706,87.9635956341026,43,656,0,2,"Male","University","No loan","Spain","1","0","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
4842,5,4,22,34,0,50046.25,314.72826823956,67,745,68892.77,2,"Male","High School","Active loan","Spain","1","0","Affluent","Single","0",0,FALSE,FALSE,FALSE,0
4142,4,8,31,26,0,145900.89,62.9021747216731,68,543,116922.25,1,"Female","University","No loan","Germany","0","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
6371,8,10,31,29,0,149991.32,193.311875003855,69,797,0,1,"Male","University","No loan","France","0","1","Mass Market","Married","1",0,FALSE,FALSE,FALSE,0
8349,5,5,29,30,0,141148.21,55.17842745398,45,485,156771.68,1,"Female","High School","Active loan","Germany","1","1","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
8364,5,4,34,46,0,54394.28,214.938857593412,20,610,134264.04,1,"Male","High School","Active loan","France","1","0","Affluent","Single","1",0,FALSE,FALSE,FALSE,0
