"ID","Exited","Age","Geography","IsActiveMember","Gender","Balance","NumOfProducts","EstimatedSalary","CreditScore"
5463,0,29,"France","0","Female",0,2,182650.15,832
5511,0,41,"France","0","Male",148222.65,1,194890.33,679
5227,1,43,"Spain","0","Male",79757.21,1,135650.72,577
3526,1,48,"Germany","0","Female",79551.12,2,102640.52,482
7291,0,34,"France","1","Male",0,2,83773.02,635
5986,0,45,"Spain","0","Male",0,2,116706,656
4842,0,34,"Spain","0","Male",68892.77,2,50046.25,745
4142,0,26,"Germany","1","Female",116922.25,1,145900.89,543
6371,0,29,"France","1","Male",0,1,149991.32,797
8349,0,30,"Germany","1","Female",156771.68,1,141148.21,485
8364,0,46,"France","0","Male",134264.04,1,54394.28,610
8134,0,35,"France","0","Male",127120.07,1,28707.69,835
6446,0,26,"Germany","0","Male",152400.51,2,79414,745
7761,0,39,"Spain","1","Female",139723.9,1,120612.11,684
9746,0,40,"Spain","0","Female",0,1,159508.52,605
4627,0,34,"Spain","0","Male",102800.72,1,140509.86,688
5757,0,42,"Germany","0","Male",131945.94,1,10078.02,634
8107,0,33,"France","1","Female",126776.3,2,140759.03,586
8211,0,47,"Spain","1","Male",153855.52,1,186136.48,751
3953,0,28,"France","0","Male",138668.18,1,89289.54,678
7444,0,37,"France","1","Male",109472.47,1,84584.69,627
4017,0,33,"Spain","0","Male",123816.5,1,94488.82,569
5013,0,32,"Germany","0","Female",92887.13,1,69578.49,714
8475,0,42,"France","1","Female",86167.82,1,153342.38,701
5888,1,52,"France","0","Female",0,2,175843.68,691
9170,1,48,"France","0","Female",0,1,160529.71,469
5567,0,30,"Germany","0","Male",80293.98,1,126555.74,850
4450,0,30,"France","1","Male",0,2,83473.82,684
8769,1,24,"Germany","0","Male",102773.2,2,103548.25,814
4790,0,48,"France","0","Female",0,1,85081.09,530
7307,0,35,"Germany","0","Female",92618.62,1,198802.9,690
5980,0,38,"France","0","Male",206663.75,1,107874.39,504
4614,0,41,"Germany","1","Male",141749.68,1,9201.53,579
9737,0,25,"France","0","Male",171770.55,1,22745.5,657
3555,0,36,"Germany","1","Female",88963.31,1,99019.65,669
8991,0,34,"France","0","Female",0,2,6120.84,655
7469,1,45,"France","0","Female",45144.43,2,60917.24,796
4167,0,35,"Spain","1","Female",174894.53,1,102195.16,542
5592,1,74,"Germany","0","Female",142051.07,2,66732.63,546
5538,0,43,"Germany","1","Female",0,2,64679.3,682
4799,0,67,"Germany","1","Male",127849.38,1,99490.01,689
3905,0,34,"Spain","1","Male",170288.38,1,59601.15,612
8962,0,44,"France","0","Female",0,2,196062.01,607
4047,0,42,"France","0","Female",0,2,4292.72,674
6004,1,44,"Germany","0","Male",152759,1,54083.8,476
7405,0,44,"France","1","Female",0,2,66548.58,665
6207,0,29,"France","1","Male",0,2,6770.44,586
6995,0,38,"France","0","Female",106871.81,2,60739.16,850
8344,0,46,"Germany","1","Male",113402.14,2,73470.98,749
3166,0,31,"Spain","1","Male",106070.89,1,101617.43,658
3217,0,38,"France","1","Female",0,2,79169.73,565
4314,0,35,"Spain","1","Female",71829.34,1,68141.92,658
