"ID","Exited","Age","Geography","IsActiveMember","Gender","NumOfProducts","Balance","EstimatedSalary","AvgTransactionAmount"
5511,0,41,"France","0","Male",1,148222.65,194890.33,44.234956522968
5227,1,43,"Spain","0","Male",1,79757.21,135650.72,228.837824334054
3526,1,48,"Germany","0","Female",2,79551.12,102640.52,133.894064907503
7291,0,34,"France","1","Male",2,0,83773.02,91.5700291965424
5986,0,45,"Spain","0","Male",2,0,116706,87.9635956341026
4842,0,34,"Spain","0","Male",2,68892.77,50046.25,314.72826823956
4142,0,26,"Germany","1","Female",1,116922.25,145900.89,62.9021747216731
6371,0,29,"France","1","Male",1,0,149991.32,193.311875003855
8349,0,30,"Germany","1","Female",1,156771.68,141148.21,55.17842745398
8364,0,46,"France","0","Male",1,134264.04,54394.28,214.938857593412
8134,0,35,"France","0","Male",1,127120.07,28707.69,120.926366759825
6446,0,26,"Germany","0","Male",2,152400.51,79414,111.751095400673
7761,0,39,"Spain","1","Female",1,139723.9,120612.11,49.7913339472809
9746,0,40,"Spain","0","Female",1,0,159508.52,191.305469040082
4627,0,34,"Spain","0","Male",1,102800.72,140509.86,49.3734828522953
5757,0,42,"Germany","0","Male",1,131945.94,10078.02,189.243699402078
8107,0,33,"France","1","Female",2,126776.3,140759.03,136.330910547844
8211,0,47,"Spain","1","Male",1,153855.52,186136.48,97.3909756432833
7444,0,37,"France","1","Male",1,109472.47,84584.69,94.5927923959026
4017,0,33,"Spain","0","Male",1,123816.5,94488.82,109.618042482015
5013,0,32,"Germany","0","Female",1,92887.13,69578.49,258.722313393847
8475,0,42,"France","1","Female",1,86167.82,153342.38,236.217805502062
5888,1,52,"France","0","Female",2,0,175843.68,172.482651879158
9170,1,48,"France","0","Female",1,0,160529.71,88.0991998902802
5567,0,30,"Germany","0","Male",1,80293.98,126555.74,107.524357242795
4450,0,30,"France","1","Male",2,0,83473.82,50.8452997294432
8769,1,24,"Germany","0","Male",2,102773.2,103548.25,72.0971987169753
4790,0,48,"France","0","Female",1,0,85081.09,122.086035746322
7307,0,35,"Germany","0","Female",1,92618.62,198802.9,107.237801071328
5980,0,38,"France","0","Male",1,206663.75,107874.39,113.865201595426
