"ID","Exited","Age","Geography","IsActiveMember","Gender","Balance","NumOfProducts","EstimatedSalary"
5511,0,41,"France","0","Male",148222.65,1,194890.33
5227,1,43,"Spain","0","Male",79757.21,1,135650.72
3526,1,48,"Germany","0","Female",79551.12,2,102640.52
7291,0,34,"France","1","Male",0,2,83773.02
5986,0,45,"Spain","0","Male",0,2,116706
4842,0,34,"Spain","0","Male",68892.77,2,50046.25
4142,0,26,"Germany","1","Female",116922.25,1,145900.89
6371,0,29,"France","1","Male",0,1,149991.32
8349,0,30,"Germany","1","Female",156771.68,1,141148.21
8364,0,46,"France","0","Male",134264.04,1,54394.28
8134,0,35,"France","0","Male",127120.07,1,28707.69
6446,0,26,"Germany","0","Male",152400.51,2,79414
7761,0,39,"Spain","1","Female",139723.9,1,120612.11
9746,0,40,"Spain","0","Female",0,1,159508.52
4627,0,34,"Spain","0","Male",102800.72,1,140509.86
5757,0,42,"Germany","0","Male",131945.94,1,10078.02
8107,0,33,"France","1","Female",126776.3,2,140759.03
8211,0,47,"Spain","1","Male",153855.52,1,186136.48
3953,0,28,"France","0","Male",138668.18,1,89289.54
7444,0,37,"France","1","Male",109472.47,1,84584.69
4017,0,33,"Spain","0","Male",123816.5,1,94488.82
5013,0,32,"Germany","0","Female",92887.13,1,69578.49
8475,0,42,"France","1","Female",86167.82,1,153342.38
5888,1,52,"France","0","Female",0,2,175843.68
9170,1,48,"France","0","Female",0,1,160529.71
5567,0,30,"Germany","0","Male",80293.98,1,126555.74
4450,0,30,"France","1","Male",0,2,83473.82
8769,1,24,"Germany","0","Male",102773.2,2,103548.25
4790,0,48,"France","0","Female",0,1,85081.09
7307,0,35,"Germany","0","Female",92618.62,1,198802.9
5980,0,38,"France","0","Male",206663.75,1,107874.39
4614,0,41,"Germany","1","Male",141749.68,1,9201.53
9737,0,25,"France","0","Male",171770.55,1,22745.5
3555,0,36,"Germany","1","Female",88963.31,1,99019.65
8991,0,34,"France","0","Female",0,2,6120.84
7469,1,45,"France","0","Female",45144.43,2,60917.24
4167,0,35,"Spain","1","Female",174894.53,1,102195.16
5538,0,43,"Germany","1","Female",0,2,64679.3
4799,0,67,"Germany","1","Male",127849.38,1,99490.01
3905,0,34,"Spain","1","Male",170288.38,1,59601.15
8962,0,44,"France","0","Female",0,2,196062.01
4047,0,42,"France","0","Female",0,2,4292.72
6004,1,44,"Germany","0","Male",152759,1,54083.8
7405,0,44,"France","1","Female",0,2,66548.58
6207,0,29,"France","1","Male",0,2,6770.44
6995,0,38,"France","0","Female",106871.81,2,60739.16
8344,0,46,"Germany","1","Male",113402.14,2,73470.98
3166,0,31,"Spain","1","Male",106070.89,1,101617.43
3217,0,38,"France","1","Female",0,2,79169.73
4314,0,35,"Spain","1","Female",71829.34,1,68141.92
5629,0,24,"Germany","1","Male",142989.69,1,71638
9216,0,27,"France","0","Male",156282.79,1,151912.49
3588,0,50,"France","1","Female",0,2,196134.44
4599,1,40,"Germany","1","Female",76915.4,1,120373.84
7237,0,38,"France","0","Male",134811.3,1,1299.75
7818,0,46,"Germany","1","Female",88786.81,1,176730.02
6937,0,32,"France","1","Male",177729.13,1,78560.64
7089,0,32,"Spain","1","Male",76548.6,1,159891.03
5907,0,28,"France","1","Male",79460.98,2,167973.63
7249,1,28,"Germany","0","Male",143988,2,8755.69
3294,1,30,"France","1","Female",0,2,130861.95
3277,0,26,"France","0","Male",150300.65,2,121551.93
