"ID","X","Tenure","NetPromoterScore","TransactionFrequency","Age","ComplaintsCount","EstimatedSalary","AvgTransactionAmount","DigitalEngagementScore","CreditScore","Balance","NumOfProducts","Exited","Gender","EducationLevel","LoanStatus","Geography","HasCrCard","IsActiveMember","CustomerSegment","MaritalStatus","SavingsAccountFlag"
5463,1,4,10,34,29,0,1375.46,97.7501287856807,60,832,0,2,0,"Female","University","No loan","France","0","0","Mass Market","Married","1"
5511,2,1,9,31,41,0,10883.52,142.475793016609,73,571,124781.67,1,0,"Male","University","No loan","France","0","0","Mass Market","Married","1"
5227,3,8,8,26,43,0,135650.72,228.837824334054,82,577,79757.21,1,1,"Male","University","No loan","Spain","1","0","Mass Market","Married","1"
3526,4,1,8,32,48,0,102640.52,133.894064907503,47,482,185648.56,1,1,"Female","High School","Active loan","Germany","0","1","Affluent","Single","0"
7291,5,3,6,41,34,0,83773.02,91.5700291965424,67,635,139687.66,2,0,"Male","High School","Active loan","France","1","1","Affluent","Single","0"
5986,6,6,9,33,40,0,116706,87.9635956341026,43,656,0,2,0,"Male","University","No loan","Spain","1","0","Mass Market","Married","1"
4842,7,2,4,22,34,0,50046.25,46.859656008238,67,745,0,2,0,"Male","High School","Active loan","Spain","1","0","Affluent","Single","0"
4142,8,4,8,31,26,0,145900.89,188.965583699166,69,758,124540.28,1,0,"Male","University","No loan","Germany","1","1","Mass Market","Married","1"
6371,9,10,10,22,29,0,149991.32,193.311875003855,69,797,0,1,0,"Male","University","No loan","France","0","1","Mass Market","Married","1"
8349,10,5,5,29,30,0,141148.21,55.17842745398,45,485,156771.68,1,0,"Female","High School","Active loan","Germany","1","1","Affluent","Single","1"
8364,11,5,4,34,46,0,54394.28,214.938857593412,20,610,129555.7,1,0,"Male","High School","Active loan","France","1","0","Affluent","Single","0"
8134,12,6,8,28,35,0,28707.69,120.926366759825,55,835,127120.07,1,0,"Male","University","No loan","France","0","0","Mass Market","Married","1"
6446,13,3,5,24,26,0,79414,111.751095400673,63,623,152400.51,2,0,"Male","High School","Active loan","Germany","1","0","Affluent","Single","1"
7761,14,4,4,25,39,0,120612.11,49.7913339472809,61,684,139723.9,1,0,"Female","High School","Active loan","Spain","1","1","Affluent","Single","1"
9746,15,3,8,28,28,0,159508.52,191.305469040082,72,605,139183.06,2,0,"Female","University","No loan","France","0","0","Mass Market","Married","1"
4627,16,10,5,21,34,0,140509.86,49.3734828522953,67,663,150092.8,1,0,"Female","University","No loan","Spain","1","0","Mass Market","Married","1"
5757,17,5,9,19,40,0,10078.02,81.8317091619465,56,634,81231.85,1,0,"Male","University","No loan","Germany","1","0","Mass Market","Married","1"
8107,18,10,10,31,33,0,140759.03,136.330910547844,60,586,0,2,0,"Female","University","No loan","France","1","1","Mass Market","Married","1"
8211,19,8,10,22,41,0,96097.65,97.3909756432833,46,510,113794.22,1,0,"Male","University","No loan","Spain","0","1","Mass Market","Married","1"
3953,20,5,0,17,28,4,65390.46,143.848772499936,55,678,138668.18,1,0,"Male","Other","Default risk","France","1","0","High Net Worth","Widowed","0"
7444,21,3,8,26,37,0,84584.69,118.348137424587,62,627,0,1,0,"Male","High School","Active loan","France","0","1","Affluent","Single","0"
4017,22,3,1,31,28,2,94488.82,109.618042482015,61,569,118336.14,1,0,"Male","Postgraduate","Default risk","Spain","0","0","High Net Worth","Divorced","0"
5013,23,6,10,36,39,0,69578.49,67.9925060339594,80,714,92887.13,1,0,"Male","University","No loan","Germany","1","0","Mass Market","Married","1"
8475,24,6,9,22,42,0,153342.38,236.217805502062,67,701,86167.82,1,0,"Male","High School","No loan","France","1","0","Mass Market","Married","1"
5888,25,3,3,33,52,1,175843.68,172.482651879158,28,691,0,2,1,"Female","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0"
9170,26,5,5,20,48,0,160529.71,88.0991998902802,47,469,0,1,1,"Female","High School","Active loan","France","1","1","Affluent","Single","1"
5567,27,7,9,28,61,0,126555.74,107.524357242795,55,850,80293.98,1,0,"Male","University","No loan","France","0","0","Mass Market","Married","1"
4450,28,6,7,28,30,0,83473.82,50.8452997294432,40,684,0,2,0,"Male","High School","No loan","France","1","1","Mass Market","Married","1"
8769,29,5,9,42,24,0,35908.46,80.8284996948187,56,673,102773.2,2,1,"Female","High School","No loan","Germany","1","0","Mass Market","Married","1"
4790,30,3,9,27,48,0,85081.09,122.086035746322,56,530,0,1,0,"Female","University","No loan","France","1","0","Mass Market","Married","1"
7307,31,2,4,21,35,0,198802.9,107.237801071328,65,700,92347.96,1,0,"Female","High School","Active loan","Germany","0","1","Affluent","Single","0"
5980,32,8,8,25,35,0,191468.78,113.865201595426,52,504,206663.75,1,0,"Male","University","No loan","France","0","0","Mass Market","Married","1"
4614,33,7,10,23,41,0,9201.53,90.1323744574138,49,579,141749.68,1,0,"Male","University","No loan","Germany","0","1","Mass Market","Married","1"
9737,34,2,9,23,25,0,22745.5,60.3287869776042,26,657,171770.55,1,0,"Female","University","No loan","France","1","0","Mass Market","Married","1"
3555,35,0,0,30,36,4,99019.65,63.7421969908845,51,648,191775.65,1,0,"Female","Postgraduate","Active loan","France","1","1","High Net Worth","Divorced","0"
8991,36,3,10,36,34,0,111346.22,85.4330876470848,37,655,101993.12,2,0,"Female","University","No loan","France","0","0","Mass Market","Married","1"
7469,37,4,7,35,45,0,60917.24,70.0206621232026,89,629,45144.43,1,1,"Female","Postgraduate","Active loan","France","0","0","High Net Worth","Divorced","0"
4167,38,9,8,31,35,0,96658.26,36.9586661385407,66,542,174894.53,1,0,"Male","University","No loan","Spain","1","0","Mass Market","Married","1"
5592,39,8,5,33,74,0,66732.63,106.196070203679,84,546,0,2,1,"Female","High School","Active loan","Germany","0","1","Affluent","Single","1"
5538,40,7,8,39,43,0,64679.3,142.054920623345,75,682,133628.09,2,0,"Female","University","No loan","France","0","1","Mass Market","Married","1"
4799,41,9,8,34,67,0,99490.01,86.6670619301844,35,689,0,1,0,"Male","University","No loan","Germany","1","1","Mass Market","Married","1"
3905,42,0,1,37,28,2,59601.15,76.1316844327071,74,612,170288.38,1,0,"Male","Postgraduate","Default risk","Spain","1","1","High Net Worth","Divorced","0"
8962,43,7,6,27,43,0,196062.01,179.870078687509,66,607,0,2,0,"Female","High School","Active loan","Germany","0","0","Affluent","Single","0"
4047,44,9,9,33,42,0,4292.72,54.8521383968424,46,674,0,2,0,"Female","High School","No loan","France","0","0","Mass Market","Married","1"
6004,45,9,1,22,54,2,73294.48,127.047660290442,57,376,152759,1,1,"Male","Postgraduate","Default risk","Spain","1","0","High Net Worth","Divorced","0"
7405,46,7,9,32,44,0,66548.58,114.410086618623,38,665,0,2,0,"Female","University","No loan","France","0","1","Mass Market","Married","1"
6207,47,7,6,29,29,0,6770.44,57.5753451641011,57,811,0,2,0,"Male","High School","Active loan","Germany","1","1","Affluent","Single","0"
6995,48,1,8,26,38,0,95686.6,99.828120205706,76,850,106871.81,2,0,"Female","University","No loan","France","1","0","Mass Market","Married","1"
8344,49,10,8,33,46,0,73470.98,64.0358068709714,63,749,132255.99,1,0,"Male","University","No loan","Germany","1","1","Mass Market","Married","1"
3166,50,3,10,26,31,0,101617.43,66.8388938318063,56,737,106070.89,1,0,"Male","High School","Active loan","Spain","0","1","Affluent","Single","0"
3217,51,3,6,26,38,0,80553.87,188.70064486477,32,565,0,2,0,"Female","High School","Active loan","France","0","1","Affluent","Single","0"
4314,52,9,9,33,35,0,68141.92,102.286223230178,38,658,71829.34,1,0,"Male","Postgraduate","Active loan","Spain","1","1","High Net Worth","Divorced","0"
5629,53,5,9,22,24,0,71638,54.3181823343086,50,660,119684.88,1,0,"Male","High School","No loan","Germany","1","1","Affluent","Single","1"
9216,54,0,3,41,27,1,151912.49,83.7029152012867,86,594,113143.12,1,0,"Male","Postgraduate","Active loan","France","0","0","High Net Worth","Divorced","0"
3588,55,8,8,40,47,0,196134.44,61.2605966642263,47,696,0,2,0,"Female","University","No loan","France","1","1","Mass Market","Married","1"
4599,56,1,8,27,40,0,120373.84,77.9931211594763,39,687,0,1,1,"Female","University","No loan","Germany","1","1","Mass Market","Married","1"
7237,57,2,8,30,38,0,1299.75,98.5284858164105,66,700,134811.3,1,0,"Male","University","No loan","France","1","0","Mass Market","Married","1"
7818,58,10,10,26,30,0,176730.02,103.122837929731,31,631,91125.75,1,0,"Female","University","No loan","Spain","1","1","Mass Market","Married","1"
6937,59,6,10,29,32,0,76016.49,110.043317587986,61,790,177729.13,1,0,"Male","University","No loan","France","1","1","Mass Market","Married","1"
7089,60,10,10,22,32,0,159891.03,134.330657146128,55,566,97893.2,1,0,"Male","University","No loan","Spain","1","1","Mass Market","Married","1"
5907,61,5,7,30,28,0,167973.63,169.795821278769,55,489,79460.98,2,0,"Male","High School","Active loan","France","1","1","Affluent","Single","0"
7249,62,0,9,37,28,0,8755.69,24.3181067631989,58,677,143988,2,1,"Male","High School","No loan","Germany","1","1","Mass Market","Married","1"
3294,63,3,3,19,49,1,10070.4,99.2978450808561,32,490,0,2,1,"Female","Postgraduate","Active loan","France","1","1","High Net Worth","Divorced","0"
3277,64,1,8,38,26,0,121551.93,87.6356427166289,39,514,0,2,0,"Male","University","No loan","France","0","0","Mass Market","Married","1"
8583,65,4,8,25,33,0,103931.49,57.1770716454818,76,721,72535.45,1,0,"Female","University","No loan","Spain","1","1","Mass Market","Married","1"
3041,66,7,8,35,42,0,39830.1,48.1537932759538,59,656,145729.71,1,0,"Male","University","No loan","France","1","0","Mass Market","Married","1"
9575,67,3,1,22,60,2,55775.72,71.2176817906782,55,587,132603.36,1,0,"Male","Postgraduate","Default risk","Germany","1","1","High Net Worth","Divorced","0"
9234,68,4,10,22,37,0,26920.43,50.3711525168882,38,786,55776.39,2,0,"Male","University","No loan","Spain","0","0","Mass Market","Married","1"
3316,69,8,3,33,35,1,106785.7,115.51157114924,67,782,147936.42,1,0,"Female","Postgraduate","Active loan","Spain","1","1","High Net Worth","Divorced","0"
9672,70,3,8,38,43,0,93112.2,102.807490470432,60,616,120867.18,1,1,"Female","High School","No loan","Spain","1","0","Mass Market","Married","1"
5822,71,3,10,32,38,0,126253.31,125.386598741813,59,678,124483.53,1,0,"Male","University","No loan","Spain","1","0","Mass Market","Married","1"
5795,72,3,8,25,36,0,124749.08,51.639448771382,60,740,113146.98,2,0,"Male","University","No loan","Germany","0","1","Mass Market","Married","1"
5504,73,0,9,42,31,0,75246.21,50.3711525168882,53,593,98556.89,2,0,"Male","University","No loan","France","0","1","Mass Market","Married","1"
9742,74,10,8,25,32,0,79888.78,74.2841742797474,47,629,0,2,0,"Male","University","No loan","Spain","1","1","Mass Market","Married","1"
6926,75,0,5,24,30,0,76614.04,74.6302290740336,56,525,157989.21,2,0,"Male","High School","No loan","Spain","1","1","Affluent","Single","1"
4183,76,9,1,36,31,2,67508.01,114.986746542247,55,551,112536.57,1,0,"Male","Postgraduate","Default risk","Germany","1","1","High Net Worth","Divorced","0"
3752,77,6,6,30,52,0,38984.37,101.459125745881,72,580,71283.09,2,0,"Female","High School","Active loan","Germany","1","0","Affluent","Single","0"
6281,78,4,9,24,40,0,100433.83,55.0620792725163,68,501,125832.2,1,0,"Male","University","No loan","France","1","1","Mass Market","Married","1"
3374,79,9,5,37,40,0,141558.04,59.6582103224382,59,710,87374.88,2,0,"Female","High School","Active loan","France","0","0","Affluent","Single","1"
9994,80,1,10,26,40,0,193321.3,33.6590250037629,35,739,0,1,0,"Male","University","No loan","Spain","1","0","Mass Market","Married","1"
9129,81,5,3,28,22,1,65147.27,48.3561189384351,51,750,0,2,0,"Male","Postgraduate","Active loan","France","0","1","High Net Worth","Divorced","0"
5082,82,7,10,26,33,0,111421.77,179.870078687509,73,535,115309.75,1,0,"Female","University","No loan","Spain","0","0","Mass Market","Married","1"
7612,83,1,9,26,37,0,113926.31,189.44910450875,66,575,138162.41,1,0,"Male","University","No loan","Germany","1","0","Mass Market","Married","1"
7109,84,1,5,40,36,0,102021.39,230.903332480485,47,755,75893.11,1,0,"Male","High School","No loan","Spain","1","0","Affluent","Single","1"
5117,85,9,1,36,44,2,12920.43,60.4897546142669,63,668,0,2,0,"Male","High School","No loan","Spain","1","0","Affluent","Single","1"
9134,86,1,0,30,48,3,164117.69,276.475855506388,53,543,100116.67,1,1,"Male","Other","Default risk","France","0","0","High Net Worth","Widowed","0"
9015,87,9,8,34,27,0,69829.4,202.366963322221,46,687,0,1,0,"Female","University","No loan","France","0","0","Mass Market","Married","1"
3755,88,7,4,32,40,0,104889.3,62.6867076445697,64,850,124788.18,1,0,"Male","Other","Active loan","Spain","1","0","Affluent","Widowed","0"
9553,89,6,6,26,28,0,14665.28,70.5336854380158,58,724,0,2,0,"Female","University","No loan","Spain","1","0","Mass Market","Married","1"
8428,90,1,1,45,38,2,138423.1,104.303806901833,55,640,0,2,0,"Male","Postgraduate","Default risk","Germany","0","0","High Net Worth","Divorced","0"
8209,91,6,1,17,35,2,129964.94,89.2983780132789,80,634,124513.66,2,0,"Male","Postgraduate","Default risk","Germany","1","0","High Net Worth","Divorced","0"
