"ID","Tenure","NetPromoterScore","TransactionFrequency","Age","ComplaintsCount","EstimatedSalary","AvgTransactionAmount","DigitalEngagementScore","CreditScore","Balance","NumOfProducts","Gender","EducationLevel","LoanStatus","Geography","HasCrCard","IsActiveMember","CustomerSegment","MaritalStatus","SavingsAccountFlag","Exited"
5463,8,10,34,29,0,31050.02,113.913639857628,60,832,105356.09,2,"Female","University","No loan","France","1","0","Mass Market","Married","1",0
5511,1,9,31,41,0,184514.01,121.829399775012,66,656,126645.13,1,"Male","University","No loan","France","0","0","Mass Market","Married","1",0
5227,8,8,26,43,0,135650.72,228.837824334054,86,577,79757.21,1,"Male","University","No loan","Spain","1","0","Mass Market","Married","1",1
3526,6,7,32,48,0,102640.52,133.894064907503,46,482,52831.13,2,"Female","High School","Active loan","Germany","0","0","Affluent","Single","0",1
7291,3,6,41,34,0,83773.02,91.5700291965424,67,635,0,2,"Male","High School","Active loan","France","1","1","Affluent","Single","0",0
5986,7,9,33,26,0,116706,87.9635956341026,43,656,0,2,"Male","University","No loan","Spain","0","0","Mass Market","Married","1",0
4842,1,4,22,34,0,50046.25,167.690310185801,67,745,150186.22,2,"Male","High School","Active loan","Spain","1","0","Affluent","Single","0",0
4142,4,8,31,26,0,145900.89,62.9175739465034,55,666,108825.34,1,"Female","University","No loan","Germany","1","1","Mass Market","Married","1",0
6371,6,10,30,29,0,149991.32,193.311875003855,69,797,0,1,"Male","University","No loan","France","0","1","Mass Market","Married","1",0
8349,5,5,29,30,0,141148.21,55.17842745398,45,485,156771.68,1,"Female","High School","Active loan","Germany","1","1","Affluent","Single","1",0
8364,5,4,34,46,0,54394.28,214.938857593412,20,610,120905.03,1,"Male","High School","No loan","Spain","1","0","Affluent","Single","1",0
8134,6,8,28,35,0,28707.69,120.926366759825,55,835,127120.07,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",0
6446,4,5,28,26,0,79414,111.751095400673,63,625,152400.51,2,"Male","High School","Active loan","Germany","1","0","Affluent","Single","0",0
7761,4,4,27,39,0,120612.11,49.7913339472809,61,684,139723.9,1,"Female","High School","No loan","Spain","1","1","Affluent","Single","1",0
9746,9,8,28,36,0,159508.52,191.305469040082,71,605,0,2,"Female","University","No loan","France","0","0","Mass Market","Married","1",0
4627,10,10,21,34,0,140509.86,49.3734828522953,44,636,136820.99,1,"Male","University","No loan","Spain","1","0","Mass Market","Married","1",0
5757,5,9,30,68,0,10078.02,112.546322366998,80,634,75801.74,1,"Male","University","No loan","Germany","1","0","Mass Market","Married","1",0
8107,10,10,31,33,0,140759.03,136.330910547844,46,586,0,2,"Female","University","No loan","Spain","1","1","Mass Market","Married","1",0
8211,8,10,22,55,0,178074.04,97.3909756432833,46,622,0,2,"Male","University","No loan","Spain","0","1","Mass Market","Married","1",0
3953,5,0,17,28,4,48131.92,213.817153275436,55,678,138668.18,1,"Male","Other","Default risk","Germany","1","1","High Net Worth","Widowed","0",0
7444,4,9,26,37,0,84584.69,161.73064156059,62,627,102768.42,1,"Male","High School","Active loan","France","0","1","Affluent","Single","0",0
4017,3,1,37,22,2,94488.82,109.618042482015,42,569,126670.37,1,"Male","Postgraduate","Default risk","Spain","0","0","High Net Worth","Divorced","0",0
5013,6,10,36,40,0,69578.49,73.710890075502,80,714,92887.13,1,"Male","University","No loan","Germany","1","0","Mass Market","Married","1",0
8475,6,9,22,42,0,153342.38,236.217805502062,77,701,86167.82,1,"Male","University","No loan","France","1","0","Mass Market","Married","1",0
5888,3,3,33,52,1,175843.68,172.482651879158,28,691,0,2,"Male","Postgraduate","Active loan","France","1","0","High Net Worth","Divorced","0",1
9170,5,5,25,48,0,160529.71,88.0991998902802,70,469,0,1,"Female","High School","Active loan","France","1","0","Affluent","Single","1",1
5567,7,9,28,54,0,126555.74,107.524357242795,68,850,80293.98,1,"Male","University","No loan","France","0","0","Mass Market","Married","1",0
4450,4,4,28,30,0,83473.82,50.8452997294432,40,684,0,2,"Male","High School","No loan","Spain","1","0","Mass Market","Married","1",0
